timeStamp,latitude,longitude,altitude
1681876980,-0.330291,-81.845322,491.558441
1681876800,11.087979,-79.598885,491.971771
1681876620,22.487635,-77.230782,494.036652
1681876440,33.847034,-74.572266,497.433960
1681876260,45.139648,-71.328163,501.674408
1681876080,56.320053,-66.851585,506.176819
1681875900,67.267036,-59.305706,510.357330
1681875720,77.439392,-41.030834,513.715576
1681875540,82.534050,23.147078,515.904602
1681875360,75.509727,74.887375,516.775452
1681875180,65.087471,89.513443,516.391479
1681875000,54.101204,96.145226,515.010864
1681874820,42.928730,100.281303,513.040161
1681874640,31.664171,103.368050,510.964996
1681874460,20.345058,105.946037,509.267883
1681874280,8.994167,108.273323,508.345947
1681874100,-2.369637,110.504303,508.441711
1681873920,-13.728347,112.759644,509.599792
1681873740,-25.063860,115.168190,511.657227
1681873560,-36.356529,117.915314,514.269531
1681873380,-47.579979,121.341812,516.967529
1681873200,-58.682598,126.231911,519.234497
1681873020,-69.508362,134.964142,520.590576
1681872840,-79.256256,158.467499,520.671143
1681872660,-81.838722,-128.312820,519.287537
1681872480,-73.458366,-88.892769,516.461975
1681872300,-62.841003,-76.918137,512.432251
1681872120,-51.784416,-71.015724,507.624664
1681871940,-40.560150,-67.163933,502.598358
1681871760,-29.244411,-64.209076,497.967529
1681871580,-17.871471,-61.694908,494.312134
1681871400,-6.464753,-59.393147,492.090302
1681871220,4.954906,-57.159660,491.567932
1681871040,16.367027,-54.873882,492.777649
1681870860,27.750757,-52.397301,495.515259
1681870680,39.083012,-49.517586,499.374298
1681870500,50.331470,-45.822163,503.812164
1681870320,61.428608,-40.301086,508.235107
1681870140,72.149529,-29.600760,512.087952
1681869960,81.129738,3.492863,514.934082
1681869780,80.240120,79.381889,516.514465
1681869600,70.815323,107.104706,516.778748
1681869420,60.039127,116.719536,515.884644
1681869240,48.947342,121.899040,514.166626
1681869060,37.725754,125.449745,512.077637
1681868880,26.432632,128.257584,510.112854
1681868700,15.096344,130.696091,508.725281
1681868520,3.737194,132.962769,508.248108
1681868340,-7.626528,135.190445,508.836090
1681868160,-18.976860,137.498627,510.437012
1681867980,-30.295286,140.034744,512.798889
1681867800,-41.560120,143.037735,515.511169
1681867620,-52.737228,146.994370,518.072388
1681867440,-63.745144,153.162628,519.972473
1681867260,-74.276871,166.073456,520.775940
1681867080,-82.185280,-149.951920,520.193481
1681866900,-78.574219,-79.633881,518.131165
1681866720,-68.639259,-58.381721,514.712280
1681866540,-57.754478,-50.144253,510.266724
1681866360,-46.605164,-45.422199,505.290497
1681866180,-35.332893,-42.068119,500.378601
1681866000,-23.987438,-39.354923,496.140411
1681865820,-12.596265,-36.960411,493.109344
1681865640,-1.181098,-34.705723,491.661560
1681865460,10.237517,-32.463161,491.957611
1681865280,21.639029,-30.109100,493.918335
1681865100,33.001961,-27.480135,497.239319
1681864920,44.300430,-24.295387,501.441254
1681864740,55.491459,-19.949657,505.946625
1681864560,66.464218,-12.762658,510.168671
1681864380,76.745399,4.034422,513.598206
1681864200,82.617439,63.864063,515.875000
1681864020,76.230949,120.308624,516.834900
1681863840,65.894897,136.129562,516.525818
1681863660,54.930847,143.070816,515.193298
1681863480,43.767910,147.324066,513.235352
1681863300,32.508705,150.464996,511.135040
1681863120,21.192825,153.070114,509.378662
1681862940,9.843615,155.410065,508.373016
1681862760,-1.519920,157.643936,508.374664
1681862580,-12.879744,159.893341,509.444305
1681862400,-24.217785,162.285141,511.434601
1681862220,-35.514606,164.998077,514.013367
1681862040,-46.744690,168.355347,516.718445
